user1;Polowanie na Czerwony PaŸdziernik;10;Rick i Morty;10;Teoria Wielkiego Podrywu;8;Braveheart;10;The Expanse;7;Miasteczko South Park;9;Kraina Lodu;5;Dziennik Bridget Jones;6;Kapitan Ameryka: Wojna bohaterów;3;Avengers: Czas Ultrona;2;Terminator 2;9;Planeta Singli;7;List do M.;7;List do M. 2;2;Forrest Gump;10;Ex Machina;10;Gran Torino;9;Cicha Noc;1;Battleship: Bitwa o Ziemiê;1;Narodziny Gwiazdy;2;Kapitan Phillips;9;Grand Budapest Hotel;9;Wyjazd integracyjny;1;John Wick;7;Narcos;10;Terminal;8;Ona;8;Whiplash;10;Diabe³ ubiera siê u Prady;9;La Casa De Papel;8;;;;;;;;;;;;;;;;;;
user2;Whiplash;10;Teoria Wielkiego Podrywu;7;Braveheart;8;Terminator 2;8;Mr.Robot;8;List do M.;7;Forrest Gump;9;Narodziny Gwiazdy;3;Kapitan Phillips;8;Narcos;7;John Wick;6;Never Back Down;8;Zmierzch;2;Queen's Gambit;9;Game Of Thrones;8;Intouchables;9;The Pianist;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
user3;Rick i Morty;9;Interstellar;8;Brickleberry;8;Mr.Robot;7;Dr House;9;Aquaman;6;John Wick;8;Gladiator;9;Baby Driver;7;Spongebob;6;Scary Movie;7;2012;4;Blade Runner;9;Joker;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
user4;Porucznik Kabura;9;Bogdan Boner: Egzorcysta;9;Rick i Morty;10;Thirteen Reasons Why;2;The Umbrella Academy;7;Teoria Wielkiego Podrywu;9;Dark;10;Kraina Lodu;1;The 100;6;Forrest Gump;7;Interstellar;10;Narcos;9;La Casa De Papel;8;Zagubieni w kosmosie;4;Altered Carbon;8;Breaking Bad;9;Locke & Key;8;Spongebob;7;Dzieñ œwira;8;Œwinka peppa;5;Stranger Things;8;Final Space;9;Orange is the new black;5;Dziennik Bridget Jones;4;Gruby i chudszy;5;Matrix;10;Gladiator;9;Wesele;1;Big mouth;2;Death note;10;Battleship: Bitwa o Ziemiê;3;It;5;300;10;Pulp fiction;9;Alien;10;Rozczarowni;8;Karol - cz³owiek, który zosta³ papie¿em;3;Zmierzch;1;2012;4
user5;Lord of the Rings;10;The Witcher;8;Blade Runner;9;Interstellar;9;Game of Thrones;7;Star Wars;7;John Wick;10;Gladiator;10;Kickboxer;8;Baby Driver;7;Mr.Robot;7;Inglourious Basterds;9;Vikings;9;The Boys;10;Castlevania;9;Alien;9;The Wolf of Wall Street;9;300;8;The Office;10;Resident Evil;8;Indiana Jones;9;2012;5;Scary Movie;6;The Maze Runner;7;Sinister;7;Kingsman The Secret Service;7;Matrix;8;World War Z;4;Edge of Tomorrow;7;The Chronicles of Riddick;7;;;;;;;;;;;;;;;;;;
user6;2001: Odyseja kosmiczna;9;Oczy szeroko otwarte;10;Mulholland drive;8;Her;8;Whiplash;9;Irlandczyk;6;Narodziny gwiazdy;5;Rick i Morty;10;Elementary;8;Avengers: Czas Ultrona;1;Mr.Robot;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
user7;Breaking bad;10;Better Call Saul;9;Lord of the rings;10;Inglourious Basterds;9;Interstellar;9;Avengers: Endgame;6;Django;8;Green Book;7;Gladiator;9;Interview with the Vampire;8;The Martian;8;I Am Legend;8;Chernobyl;8;Dark;8;Friends;4;Thirteen Reasons Why;4;Blade Runner;8;The Witcher;8;Dragon Ball;8;Harry Potter;6;Thor;8;Star Wars;9;Edge of Tomorrow;8;Ex Machina;8;Upgrade;9;Indiana Jones;8;Joker;9;Prometheus;8;It;3;Life;7;;;;;;;;;;;;;;;;;;
user8;Never Back Down;8;The Godfather;10;James Bond;9;Interstellar;10;Harry Potter;8;No Reservations;7;Lord of the Rings;8;John Wick;7;Limitless;8;Django;8;Matrix;10;The Fast and the Furious;8;Ex Machina;8;Zmierzch;6;Mr.Robot;9;Gran Torino;8;Troja;9;Terminal;8;Immortals. Bogowie i herosi;7;Clash of the Titans;7;La Casa De Papel;10;Thor;8;Gladiator;8;Star Wars;10;Le Comte de Monte-Cristo;9;Œwiadek Koronny;8;The Witcher;10;Mission Impossible;8;Huligans;8;Kac Vegas;9;;;;;;;;;;;;;;;;;;
user9;Primer;9;Sublokator;8;Hydrozagadka;10;The Void;10;Avengers;1;Ojciec Chrzestny;2;Color Out Of Space;7;Thor Ragnarok;4;The Boys;8;What we do in the shadows;9;IT Crowd;7;Pulp Fiction;8;Notting Hill;1;Zombeavers;10;Mr.Robot;9;Locke & Key;8;Rambo;3;Fight Club;10;Blade Runner;8;Alien;10;Event Horizon;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
user10;Od Nowa;8;Przyjaciele;10;Lucyfer;7;Listy do M.;1;Death Note;9;Dragon Ball;10;Teoria Wielkiego Podrywu;10;Whiplash;8;Prison Break;4;Incepcja;7;Podziwmny Kr¹g;9;Dzieñ Swira;9;Wesele;3;Dexter;8;Thirteen Reasons Why;7;PrestiŸ;8;Castlevania;9;Pitbull;1;Volta;1;Hitch;4;Juliusz;4;WiedŸmin;8;Requiem dla snu;10;Miasteczko South Park;9;Wyjazd integracyjny;1;Narodziny gwiazdy;2;Gran Torino;9;Cicha noc;1;Baby driver;7;World War Z;4;The Witcher;8;Aquaman;6;Brickleberry;8;Resident Evil;9;Irlandczyk;6;Thor;8;It;3;Czernobyl;8;;
